507.1428571428571, 1.5308116682396015e-11
530.3571428571429, 1.894011649118726e-11
555.3571428571429, 2.3433843636185115e-11
580.3571428571429, 2.8993751322526873e-11
603.5714285714284, 3.5872801269974507e-11
628.5714285714286, 4.5116827032979166e-11
653.5714285714286, 5.582123375764754e-11
676.7857142857142, 6.906536525603239e-11
703.5714285714284, 8.68627491556964e-11
726.7857142857142, 1.0747178257699018e-10
751.7857142857142, 1.3516607718925033e-10
776.7857142857142, 1.6451905877536675e-10
801.7857142857142, 2.0355280815237518e-10
826.7857142857142, 2.56006124762122e-10
848.2142857142858, 3.11601013822593e-10
875, 3.918971629266596e-10
900, 4.848785825452011e-10
923.2142857142856, 5.999207497581242e-10
950, 7.422577918396726e-10
973.2142857142858, 9.33529449130064e-10
998.2142857142856, 1.1550184050275898e-9
1023.2142857142858, 1.4290577733735896e-9
1048.2142857142856, 1.7393953031710926e-9
1071.4285714285713, 2.1876183140687948e-9
1096.4285714285713, 2.706652070033247e-9
1121.4285714285713, 3.3488316408311426e-9
1144.642857142857, 4.2117886686593256e-9
1171.4285714285713, 5.211076559953725e-9
1194.642857142857, 6.447455238143033e-9
1219.642857142857, 7.977176802067013e-9
1244.6428571428569, 9.869839709001891e-9
1269.642857142857, 1.2413188689754738e-8
1294.642857142857, 1.5358338630996413e-8
